order,recorder,location,Year,Site,species,Weight,Wing
1,wdn,EU,0,16,Elminia albonotata,7.2,64
2,wdn,EU,0,16,Elminia albonotata,7.2,61.5
3,wdn,EU,0,16,Bradypterus lopezi,15.7,60
4,wdn,EU,0,16,Phyllastrephus cabanisi,23,76
5,wdn,EU,0,16,Phyllastrephus cabanisi,26.3,82
6,wdn,EU,0,16,Cyanomitra olivacea,8.2,54
7,wdn,EU,0,16,Illadopsis rufipennis,26,78
8,wdn,EU,0,16,Illadopsis rufipennis,25,70
9,wdn,EU,0,16,Artisornis metopias,7.6,45
10,wdn,EU,0,16,Arizelocichla masukuensis,27,85
11,wdn,EU,0,16,Arizelocichla masukuensis,27.5,86
12,wdn,EU,0,16,Arizelocichla masukuensis,28,85
13,wdn,EU,0,16,Arizelocichla masukuensis,27.2,77
14,wdn,EU,0,16,Arizelocichla masukuensis,27,90
15,wdn,EU,0,16,Phyllastrephus albigula,11.8,66
16,wdn,EU,0,16,Phyllastrephus albigula,14,69
17,wdn,EU,0,16,Elminia albonotata,7.9,64
18,wdn,EU,0,16,Bradypterus lopezi,20.4,57
19,wdn,EU,0,16,Bradypterus lopezi,20.4,60
20,wdn,EU,0,16,Eurillas virens,23.4,81
21,wdn,EU,0,16,Eurillas virens,23.5,78
22,wdn,EU,0,16,Eurillas virens,25.5,81
23,wdn,EU,0,16,Cyanomitra olivacea,7.1,55
24,wdn,EU,0,16,Cyanomitra olivacea,9.4,61
25,wdn,EU,0,16,Cyanomitra olivacea,9.4,55
26,wdn,EU,0,16,Cyanomitra olivacea,7.5,55
27,wdn,EU,0,16,Cyanomitra olivacea,8.7,61
28,wdn,EU,0,16,Cyanomitra olivacea,7.5,57
29,wdn,EU,0,16,Arizelocichla masukuensis,26,80
30,wdn,EU,0,16,Arizelocichla masukuensis,28,82
31,wdn,EU,0,16,Arizelocichla masukuensis,27,83
32,wdn,EU,0,16,Phyllastrephus albigula,14.7,68
33,wdn,EU,0,16,Phyllastrephus albigula,15.4,67
34,wdn,EU,0,16,Elminia albonotata,6.9,55
35,wdn,EU,0,16,Elminia albonotata,7.4,61
36,wdn,EU,0,16,Bradypterus lopezi,19.3,58
37,wdn,EU,0,16,Batis mixta,11.5,60
38,wdn,EU,0,16,Batis mixta,13.5,64
39,wdn,EU,0,16,Geokichla gurneyi,57.2,106
40,wdn,EU,0,16,Phyllastrephus cabanisi,28.5,84
41,wdn,EU,0,16,Phyllastrephus cabanisi,25.2,80
42,wdn,EU,0,16,Phyllastrephus cabanisi,22.7,72
43,wdn,EU,0,16,Phyllastrephus cabanisi,24.5,76
44,wdn,EU,0,16,Phyllastrephus cabanisi,25.5,86
45,wdn,EU,0,16,Cyanomitra olivacea,10,64
46,wdn,EU,0,16,Arizelocichla milanjensis,40.5,101
47,wdn,EU,0,16,Phyllastrephus albigula,14.8,66
48,wdn,EU,0,16,Chamaetylas fuelleborni,58.5,110
49,wdn,EU,0,16,Phylloscopus ruficapilla,8,58
50,wdn,EU,0,16,Bradypterus lopezi,20.5,60
51,wdn,EU,0,16,Cyanomitra olivacea,9.7,63
52,wdn,EU,0,16,Cyanomitra olivacea,9.5,61
53,wdn,EU,0,16,Cyanomitra olivacea,8.3,55
54,wdn,EU,0,16,Cyanomitra olivacea,10,62
55,wdn,EU,0,16,Cyanomitra olivacea,8.5,54
56,wdn,EU,0,16,Cyanomitra olivacea,9.4,62
57,wdn,EU,0,16,Arizelocichla milanjensis,41.9,96
58,wdn,EU,0,16,Arizelocichla milanjensis,36.9,94
59,wdn,EU,0,16,Arizelocichla milanjensis,41.9,92
60,wdn,EU,0,16,Arizelocichla milanjensis,39.2,91
61,wdn,EU,0,16,Phyllastrephus albigula,14.5,68
62,wdn,EU,0,16,Elminia albonotata,8.5,66
63,wdn,EU,0,16,Phylloscopus ruficapilla,7,54
64,wdn,EU,0,16,Bradypterus lopezi,20,58
65,wdn,EU,0,16,Batis mixta,11.5,62
66,wdn,EU,0,16,Batis mixta,10.5,59
67,wdn,EU,0,16,Batis mixta,11,59
68,wdn,EU,0,16,Cyanomitra olivacea,9.3,59
69,wdn,EU,0,16,Cyanomitra olivacea,9,60
70,wdn,EU,0,16,Cyanomitra olivacea,10,61
71,wdn,EU,0,16,Arizelocichla masukuensis,25.5,80
72,wdn,EU,0,16,Elminia albonotata,7.3,59
73,wdn,EU,0,16,Bradypterus lopezi,15,58
74,wdn,EU,0,16,Eurillas virens,25.5,80
75,wdn,EU,0,16,Turdus roehli,59.5,102
76,wdn,EU,0,16,Phyllastrephus cabanisi,25.5,70
77,wdn,EU,0,16,Phyllastrephus cabanisi,27,71
78,wdn,EU,0,16,Phyllastrephus cabanisi,24,80
79,wdn,EU,0,16,Cyanomitra olivacea,8,53
80,wdn,EU,0,16,Cyanomitra olivacea,10,61
81,wdn,EU,0,16,Cyanomitra olivacea,9,56
82,wdn,EU,0,16,Cyanomitra olivacea,9,59
83,wdn,EU,0,16,Arizelocichla masukuensis,22.5,81
84,wdn,EU,0,16,Arizelocichla masukuensis,23.5,77
85,wdn,EU,0,16,Chamaetylas fuelleborni,54.7,114
86,wdn,EU,0,16,Bradypterus lopezi,16.5,59
87,wdn,EU,0,16,Cyanomitra olivacea,9,60
88,wdn,EU,0,16,Cyanomitra olivacea,12.5,58
89,wdn,EU,0,16,Cyanomitra olivacea,9.7,63
90,wdn,EU,0,16,Cyanomitra olivacea,9,60
91,wdn,EU,0,16,Spermophaga ruficapilla,22.5,71
92,wdn,EU,0,16,Arizelocichla milanjensis,39,89
93,wdn,EU,0,16,Arizelocichla masukuensis,26.2,84
94,wdn,EU,0,16,Arizelocichla masukuensis,27,80
95,wdn,EU,0,16,Arizelocichla masukuensis,28.5,84
96,wdn,EU,0,16,Elminia albonotata,7,57
97,wdn,EU,0,16,Phylloscopus ruficapilla,7.5,56
98,wdn,EU,0,16,Batis mixta,11.5,61
99,wdn,EU,0,16,Batis mixta,12.7,60
100,wdn,EU,0,16,Eurillas virens,21.5,76
101,wdn,EU,0,16,Eurillas virens,26,84
102,wdn,EU,0,16,Eurillas virens,24.3,84
103,wdn,EU,0,16,Eurillas virens,26.5,82
104,wdn,EU,0,16,Phyllastrephus cabanisi,24.5,75
105,wdn,EU,0,16,Phyllastrephus cabanisi,26.5,85
106,wdn,EU,0,16,Phyllastrephus cabanisi,26.2,78
107,wdn,EU,0,16,Phyllastrephus cabanisi,26,85
108,wdn,EU,0,16,Phyllastrephus cabanisi,21.5,76
109,wdn,EU,0,16,Cyanomitra olivacea,8.3,59
110,wdn,EU,0,16,Cyanomitra olivacea,8.7,54
111,wdn,EU,0,16,Cyanomitra olivacea,8.5,55
112,wdn,EU,0,16,Cyanomitra olivacea,10,60
113,wdn,EU,0,16,Cyanomitra olivacea,7.7,54
114,wdn,EU,0,16,Cyanomitra olivacea,10,58
115,wdn,EU,0,16,Cyanomitra olivacea,11.6,61
116,wdn,EU,0,16,Cyanomitra olivacea,10,56
117,wdn,EU,0,16,Cyanomitra olivacea,9,63
118,wdn,EU,0,16,Illadopsis rufipennis,27.5,75
119,wdn,EU,0,16,Illadopsis rufipennis,23,68
120,wdn,EU,0,16,Spermophaga ruficapilla,21.3,68
121,wdn,EU,0,16,Arizelocichla masukuensis,27.8,87
122,wdn,EU,0,16,Arizelocichla masukuensis,26.7,78
123,wdn,EU,0,16,Arizelocichla masukuensis,27,79
124,wdn,EU,0,16,Arizelocichla masukuensis,27.5,78
125,wdn,EU,0,16,Arizelocichla masukuensis,25.3,84
126,wdn,EU,0,16,Arizelocichla masukuensis,27.5,83
127,wdn,EU,0,16,Arizelocichla masukuensis,22,79
128,wdn,EU,0,16,Arizelocichla masukuensis,26.4,80
129,wdn,EU,0,16,Arizelocichla masukuensis,25.3,81
130,wdn,EU,0,16,Arizelocichla masukuensis,24,78
131,wdn,EU,0,16,Chamaetylas fuelleborni,58.5,114
132,wdn,EU,0,16,Chamaetylas fuelleborni,52,110
133,wdn,EU,0,16,Elminia albonotata,8.2,62
134,wdn,EU,0,16,Elminia albonotata,7.7,58
135,wdn,EU,0,16,Elminia albonotata,8.5,60
136,wdn,EU,0,16,Elminia albonotata,7.5,60
137,wdn,EU,0,16,Elminia albonotata,8,60
138,wdn,EU,0,16,Phyllastrephus flavostriatus,34.3,97
139,wdn,EU,0,16,Phyllastrephus flavostriatus,29.5,95
140,wdn,EU,0,16,Phyllastrephus flavostriatus,33.2,94
141,wdn,EU,0,16,Phylloscopus ruficapilla,9,52
142,wdn,EU,0,16,Eurillas virens,26.3,83
143,wdn,EU,0,16,Phylloscopus ruficapilla,9.3,49
144,wdn,EU,0,16,Batis mixta,9.8,58
145,wdn,EU,0,16,Eurillas virens,24,75
146,wdn,EU,0,16,Eurillas virens,22.3,78
147,wdn,EU,0,16,Eurillas virens,26.7,84
148,wdn,EU,0,16,Geokichla gurneyi,47,104
149,wdn,EU,0,16,Phyllastrephus cabanisi,26.6,85
150,wdn,EU,0,16,Cyanomitra olivacea,7.5,55
151,wdn,EU,0,16,Cyanomitra olivacea,8,57
152,wdn,EU,0,16,Cyanomitra olivacea,9,55
153,wdn,EU,0,16,Illadopsis rufipennis,21,69
154,wdn,EU,0,16,Illadopsis rufipennis,25.6,72
155,wdn,EU,0,16,Illadopsis rufipennis,24,82
156,wdn,EU,0,16,Arizelocichla milanjensis,42,95
157,wdn,EU,0,16,Arizelocichla masukuensis,20,80
158,wdn,EU,0,16,Chamaetylas fuelleborni,46.5,104
159,wdn,EU,0,16,Phyllastrephus flavostriatus,22.5,84
160,wdn,EU,0,16,Phyllastrephus flavostriatus,27.5,92
161,wdn,EU,0,16,Eurillas virens,24.3,83
162,wdn,EU,0,16,Eurillas virens,21.5,78
163,wdn,EU,0,16,Eurillas virens,23.3,83
164,wdn,EU,0,16,Geokichla gurneyi,64.7,105
165,wdn,EU,0,16,Phyllastrephus cabanisi,23,78
166,wdn,EU,0,16,Cyanomitra olivacea,9.7,61
167,wdn,EU,0,16,Cyanomitra olivacea,9.3,60
168,wdn,EU,0,16,Cyanomitra olivacea,9.3,61
169,wdn,EU,0,16,Cyanomitra olivacea,9.3,60
170,wdn,EU,0,16,Cyanomitra olivacea,9,54
171,wdn,EU,0,16,Cryptospiza reichenovii,11.5,50
172,wdn,EU,0,16,Arizelocichla masukuensis,24,79
173,wdn,EU,0,16,Arizelocichla masukuensis,27,84
174,wdn,EU,0,16,Arizelocichla masukuensis,26,84
175,wdn,EU,0,16,Phyllastrephus albigula,13.5,69
176,wdn,EU,1,16,Smithornis capensis,25,66
177,wdn,EU,1,16,Batis mixta,13.5,61
178,wdn,EU,1,16,Batis mixta,12.8,61
179,wdn,EU,1,16,Batis mixta,12,61
180,wdn,EU,1,16,Geokichla gurneyi,58,105
181,wdn,EU,1,16,Geokichla gurneyi,60,113
182,wdn,EU,1,16,Geokichla gurneyi,60.1,110
183,wdn,EU,1,16,Geokichla gurneyi,58,109
184,wdn,EU,1,16,Geokichla gurneyi,57.5,104
185,wdn,EU,1,16,Phyllastrephus cabanisi,26,79
186,wdn,EU,1,16,Phyllastrephus cabanisi,22.5,73
187,wdn,EU,1,16,Cryptospiza reichenovii,11,54
188,wdn,EU,1,16,Sheppardia sharpei,14.2,68
189,wdn,EU,1,16,Sheppardia sharpei,14,64
190,wdn,EU,1,16,Sheppardia sharpei,14,70
191,wdn,EU,1,16,Sheppardia sharpei,15.5,70
192,wdn,EU,1,16,Sheppardia sharpei,15,69
193,wdn,EU,1,16,Arizelocichla milanjensis,43.5,93
194,wdn,EU,1,16,Arizelocichla milanjensis,43.5,92
195,wdn,EU,1,16,Chamaetylas fuelleborni,54.8,108
196,wdn,EU,1,16,Chamaetylas fuelleborni,54,113
197,wdn,EU,1,16,Chamaetylas fuelleborni,52.5,109
198,wdn,EU,1,16,Chamaetylas fuelleborni,58.5,115
199,wdn,EU,1,16,Chamaetylas fuelleborni,50.5,115
200,wdn,EU,1,16,Chamaetylas fuelleborni,55.5,108
201,wdn,EU,1,16,Chamaetylas fuelleborni,57.5,106
202,wdn,EU,1,16,Phyllastrephus flavostriatus,35,98
203,wdn,EU,1,16,Phylloscopus ruficapilla,8,50
204,wdn,EU,1,16,Eurillas virens,26,85
205,wdn,EU,1,16,Turdus roehli,62,106
206,wdn,EU,1,16,Turdus roehli,62,109
207,wdn,EU,1,16,Turdus roehli,65.6,104
208,wdn,EU,1,16,Turdus roehli,65.5,106
209,wdn,EU,1,16,Geokichla gurneyi,63,105
210,wdn,EU,1,16,Geokichla gurneyi,64.1,113
211,wdn,EU,1,16,Geokichla gurneyi,62.5,107
212,wdn,EU,1,16,Phyllastrephus cabanisi,25,80
213,wdn,EU,1,16,Phyllastrephus cabanisi,25,78
214,wdn,EU,1,16,Phyllastrephus cabanisi,29,82
215,wdn,EU,1,16,Spermophaga ruficapilla,21.5,70
216,wdn,EU,1,16,Sheppardia sharpei,13,61
217,wdn,EU,1,16,Sheppardia sharpei,15.5,68
218,wdn,EU,1,16,Sheppardia sharpei,16.5,70
219,wdn,EU,1,16,Sheppardia sharpei,15.5,68
220,wdn,EU,1,16,Arizelocichla masukuensis,26,83
221,wdn,EU,1,16,Modulatrix stictigula,31,80
222,wdn,EU,1,16,Modulatrix stictigula,28.5,76
223,wdn,EU,1,16,Dicrurus ludwigii,27,101
224,wdn,EU,1,16,Turtur tympanistria,73.3,110
225,wdn,EU,1,16,Phyllastrephus albigula,15,65
226,wdn,EU,1,16,Phyllastrephus albigula,19,69
227,wdn,EU,1,16,Phyllastrephus albigula,16.5,68
228,wdn,EU,1,16,Chamaetylas fuelleborni,53.2,107
229,wdn,EU,1,16,Chamaetylas fuelleborni,56.6,110
230,wdn,EU,1,16,Chamaetylas fuelleborni,56.5,110
231,wdn,EU,1,16,Elminia albonotata,8.5,64
232,wdn,EU,1,16,Elminia albonotata,8,56
233,wdn,EU,1,16,Phyllastrephus flavostriatus,24.5,81
234,wdn,EU,1,16,Phyllastrephus flavostriatus,32.5,94
235,wdn,EU,1,16,Phyllastrephus flavostriatus,37,94
236,wdn,EU,1,16,Batis mixta,12.5,59
237,wdn,EU,1,16,Batis mixta,12,62
238,wdn,EU,1,16,Batis mixta,13.5,59
239,wdn,EU,1,16,Eurillas virens,28,82
240,wdn,EU,1,16,Eurillas virens,22,79
241,wdn,EU,1,16,Eurillas virens,26.1,80
242,wdn,EU,1,16,Eurillas virens,22,76
243,wdn,EU,1,16,Turdus roehli,64.5,102
244,wdn,EU,1,16,Turdus roehli,68.6,109
245,wdn,EU,1,16,Turdus roehli,61.5,110
246,wdn,EU,1,16,Turdus roehli,67,109
247,wdn,EU,1,16,Turdus roehli,66,106
248,wdn,EU,1,16,Phyllastrephus cabanisi,22.2,74
249,wdn,EU,1,16,Cyanomitra olivacea,10,62
250,wdn,EU,1,16,Illadopsis rufipennis,27.5,69
251,wdn,EU,1,16,Illadopsis rufipennis,33.8,76
252,wdn,EU,1,16,Illadopsis rufipennis,28.5,72
253,wdn,EU,1,16,Arizelocichla masukuensis,28,85
254,wdn,EU,1,16,Arizelocichla masukuensis,24.5,78
255,wdn,EU,1,16,Arizelocichla masukuensis,27,81
256,wdn,EU,1,16,Arizelocichla masukuensis,26.5,81
257,wdn,EU,1,16,Phyllastrephus albigula,15.5,65
258,wdn,EU,1,16,Phyllastrephus albigula,16,69
259,wdn,EU,1,16,Phyllastrephus albigula,16,65
260,wdn,EU,1,16,Phyllastrephus flavostriatus,34,91
261,wdn,EU,1,16,Phyllastrephus flavostriatus,26.5,88
262,wdn,EU,1,16,Phylloscopus ruficapilla,8,49
263,wdn,EU,2,16,Batis mixta,11,58
264,wdn,EU,2,16,Batis mixta,14,NA
265,wdn,EU,2,16,Batis mixta,12,63
266,wdn,EU,2,16,Batis mixta,11,58
267,wdn,EU,2,16,Batis mixta,12,60
268,wdn,EU,2,16,Batis mixta,11,62
269,wdn,EU,2,16,Eurillas virens,26,85
270,wdn,EU,2,16,Eurillas virens,25,80
271,wdn,EU,2,16,Cyanomitra olivacea,10,62
272,wdn,EU,2,16,Cyanomitra olivacea,10,62
273,wdn,EU,2,16,Cyanomitra olivacea,10,62
274,wdn,EU,2,16,Cryptospiza reichenovii,11,51
275,wdn,EU,2,16,Arizelocichla masukuensis,25,82
276,wdn,EU,2,16,Arizelocichla masukuensis,26,85
277,wdn,EU,2,16,Phyllastrephus albigula,14,65
278,wdn,EU,2,16,Phyllastrephus albigula,14,75
279,wdn,EU,2,16,Chamaetylas fuelleborni,57,106
280,wdn,EU,2,16,Pogonocichla stellata,17,70
281,wdn,EU,2,16,Smithornis capensis,20,69
282,wdn,EU,2,16,Batis mixta,11,60
283,wdn,EU,2,16,Batis mixta,12,61
284,wdn,EU,2,16,Eurillas virens,26,NA
285,wdn,EU,2,16,Eurillas virens,23,NA
286,wdn,EU,2,16,Eurillas virens,20,NA
287,wdn,EU,2,16,Eurillas virens,22,NA
288,wdn,EU,2,16,Eurillas virens,21,NA
289,wdn,EU,2,16,Geokichla gurneyi,66,109
290,wdn,EU,2,16,Geokichla gurneyi,55,111
291,wdn,EU,2,16,Geokichla gurneyi,59,109
292,wdn,EU,2,16,Geokichla gurneyi,52,110
293,wdn,EU,2,16,Phyllastrephus cabanisi,27,NA
294,wdn,EU,2,16,Phyllastrephus cabanisi,24,NA
295,wdn,EU,2,16,Phyllastrephus cabanisi,21,74
296,wdn,EU,2,16,Phyllastrephus cabanisi,26,NA
297,wdn,EU,2,16,Phyllastrephus cabanisi,24,NA
298,wdn,EU,2,16,Phyllastrephus cabanisi,28,77
299,wdn,EU,2,16,Phyllastrephus cabanisi,29,NA
300,wdn,EU,2,16,Phyllastrephus cabanisi,22,NA
301,wdn,EU,2,16,Phyllastrephus cabanisi,24,NA
302,wdn,EU,2,16,Phyllastrephus cabanisi,26,NA
303,wdn,EU,2,16,Phyllastrephus cabanisi,22,NA
304,wdn,EU,2,16,Phyllastrephus cabanisi,26,NA
305,wdn,EU,2,16,Phyllastrephus cabanisi,29,NA
306,wdn,EU,2,16,Cyanomitra olivacea,10,61
307,wdn,EU,2,16,Cyanomitra olivacea,10,NA
308,wdn,EU,2,16,Cyanomitra olivacea,10,NA
309,wdn,EU,2,16,Cyanomitra olivacea,10,NA
310,wdn,EU,2,16,Cyanomitra olivacea,10,67
311,wdn,EU,2,16,Illadopsis rufipennis,22,70
312,wdn,EU,2,16,Spermophaga ruficapilla,21,69
313,wdn,EU,2,16,Spermophaga ruficapilla,19,65
314,wdn,EU,2,16,Sheppardia sharpei,15,69
315,wdn,EU,2,16,Sheppardia sharpei,12,71
316,wdn,EU,2,16,Sheppardia sharpei,14,66
317,wdn,EU,2,16,Arizelocichla milanjensis,42,93
318,wdn,EU,2,16,Arizelocichla masukuensis,24,81
319,wdn,EU,2,16,Arizelocichla masukuensis,26,80
320,wdn,EU,2,16,Arizelocichla masukuensis,25,81
321,wdn,EU,2,16,Arizelocichla masukuensis,25,NA
322,wdn,EU,2,16,Arizelocichla masukuensis,29,NA
323,wdn,EU,2,16,Arizelocichla masukuensis,22,NA
324,wdn,EU,2,16,Arizelocichla masukuensis,21,NA
325,wdn,EU,2,16,Dicrurus ludwigii,26,101
326,wdn,EU,2,16,Indicator variegatus,44,95
327,wdn,EU,2,16,Chamaetylas fuelleborni,57,109
328,wdn,EU,2,16,Chamaetylas fuelleborni,57,111
329,wdn,EU,2,16,Chamaetylas fuelleborni,47,108
330,wdn,EU,2,16,Chamaetylas fuelleborni,55,105
331,wdn,EU,2,16,Elminia albonotata,8,61
332,wdn,EU,2,16,Phyllastrephus flavostriatus,32,96
333,wdn,EU,2,16,Phylloscopus ruficapilla,7,50
334,wdn,EU,2,16,Smithornis capensis,22,69
335,wdn,EU,2,16,Eurillas virens,28,NA
336,wdn,EU,2,16,Eurillas virens,24,81
337,wdn,EU,2,16,Eurillas virens,25,84
338,wdn,EU,2,16,Eurillas virens,22,77
339,wdn,EU,2,16,Eurillas virens,22,79
340,wdn,EU,2,16,Eurillas virens,27,NA
341,wdn,EU,2,16,Turdus roehli,62,101
342,wdn,EU,2,16,Turdus roehli,64,110
343,wdn,EU,2,16,Turdus roehli,57,104
344,wdn,EU,2,16,Phyllastrephus cabanisi,26,NA
345,wdn,EU,2,16,Cyanomitra olivacea,8,NA
346,wdn,EU,2,16,Cyanomitra olivacea,11,NA
347,wdn,EU,2,16,Sheppardia sharpei,14,NA
348,wdn,EU,2,16,Sheppardia sharpei,15,66
349,wdn,EU,2,16,Arizelocichla milanjensis,38,108
350,wdn,EU,2,16,Arizelocichla milanjensis,35,NA
351,wdn,EU,2,16,Arizelocichla masukuensis,28,83
352,wdn,EU,2,16,Elminia albonotata,7,61
353,wdn,EU,2,16,Bradypterus lopezi,18,62
354,wdn,EU,2,16,Bradypterus lopezi,18,60
355,wdn,EU,2,16,Batis mixta,10,60
356,wdn,EU,2,16,Batis mixta,11,58
357,wdn,EU,2,16,Batis mixta,13,66
358,wdn,EU,2,16,Eurillas virens,24,79
359,wdn,EU,2,16,Eurillas virens,23,79
360,wdn,EU,2,16,Eurillas virens,22,81
361,wdn,EU,2,16,Eurillas virens,23,80
362,wdn,EU,2,16,Eurillas virens,28,82
363,wdn,EU,2,16,Turdus roehli,56,108
364,wdn,EU,2,16,Geokichla gurneyi,52,111
365,wdn,EU,2,16,Phyllastrephus cabanisi,22,79
366,wdn,EU,2,16,Phyllastrephus cabanisi,21,NA
367,wdn,EU,2,16,Phyllastrephus cabanisi,22,73
368,wdn,EU,2,16,Phyllastrephus cabanisi,25,76
369,wdn,EU,2,16,Phyllastrephus cabanisi,23,85
370,wdn,EU,2,16,Cyanomitra olivacea,7,56
371,wdn,EU,2,16,Cyanomitra olivacea,10,NA
372,wdn,EU,2,16,Cyanomitra olivacea,10,NA
373,wdn,EU,2,16,Cyanomitra olivacea,9,63
374,wdn,EU,2,16,Cyanomitra olivacea,9,61
375,wdn,EU,2,16,Cyanomitra olivacea,8,54
376,wdn,EU,2,16,Cyanomitra olivacea,9,60
377,wdn,EU,2,16,Cyanomitra olivacea,9,NA
378,wdn,EU,2,16,Cyanomitra olivacea,7,54
379,wdn,EU,2,16,Cyanomitra olivacea,10,NA
380,wdn,EU,2,16,Illadopsis rufipennis,28,72
381,wdn,EU,2,16,Illadopsis rufipennis,24,69
382,wdn,EU,2,16,Illadopsis rufipennis,28,76
383,wdn,EU,2,16,Cryptospiza reichenovii,12,54
384,wdn,EU,2,16,Cryptospiza reichenovii,12,55
385,wdn,EU,2,16,Cryptospiza reichenovii,12,54
386,wdn,EU,2,16,Cryptospiza reichenovii,13,NA
387,wdn,EU,2,16,Sheppardia sharpei,14,71
388,wdn,EU,2,16,Sheppardia sharpei,13,66
389,wdn,EU,2,16,Sheppardia sharpei,15,70
390,wdn,EU,2,16,Sheppardia sharpei,14,NA
391,wdn,EU,2,16,Arizelocichla milanjensis,41,107
392,wdn,EU,2,16,Arizelocichla masukuensis,27,NA
393,wdn,EU,2,16,Arizelocichla masukuensis,27,NA
394,wdn,EU,2,16,Arizelocichla masukuensis,24,78
395,wdn,EU,2,16,Dicrurus ludwigii,26,101
396,wdn,EU,2,16,Phyllastrephus albigula,14,66
397,wdn,EU,2,16,Chamaetylas fuelleborni,52,106
398,wdn,EU,2,16,Elminia albonotata,7,61
399,wdn,EU,2,16,Elminia albonotata,9,NA
400,wdn,EU,2,16,Elminia albonotata,7,58
401,wdn,EU,2,16,Phyllastrephus flavostriatus,31,95
402,wdn,EU,2,16,Phyllastrephus flavostriatus,27,92
403,wdn,EU,2,16,Phylloscopus ruficapilla,7,50
404,wdn,EU,2,16,Phylloscopus ruficapilla,8,51
405,wdn,EU,2,16,Bradypterus lopezi,18,60
406,wdn,EU,2,16,Batis mixta,13,60
407,wdn,EU,2,16,Stactolaema olivacea,48,87
408,wdn,EU,2,16,Eurillas virens,22,80
409,wdn,EU,2,16,Eurillas virens,22,75
410,wdn,EU,2,16,Eurillas virens,27,82
411,wdn,EU,2,16,Turdus roehli,59,104
412,wdn,EU,2,16,Cyanomitra olivacea,9,60
413,wdn,EU,2,16,Cyanomitra olivacea,10,NA
414,wdn,EU,2,16,Illadopsis rufipennis,31,72
415,wdn,EU,2,16,Cryptospiza reichenovii,12,52
416,wdn,EU,2,16,Cryptospiza reichenovii,11,55
417,wdn,EU,2,16,Sheppardia sharpei,13,63
418,wdn,EU,2,16,Sheppardia sharpei,15,70
419,wdn,EU,2,16,Arizelocichla milanjensis,41,98
420,wdn,EU,2,16,Arizelocichla milanjensis,41,98
421,wdn,EU,2,16,Arizelocichla milanjensis,42,99
422,wdn,EU,2,16,Arizelocichla masukuensis,26,NA
423,wdn,EU,2,16,Arizelocichla masukuensis,27,80
424,wdn,EU,2,16,Arizelocichla masukuensis,25,77
425,wdn,EU,2,16,Arizelocichla masukuensis,24,80
426,wdn,EU,2,16,Arizelocichla masukuensis,25,80
427,wdn,EU,2,16,Arizelocichla masukuensis,27,81
428,wdn,EU,2,16,Arizelocichla masukuensis,29,80
429,wdn,EU,2,16,Arizelocichla masukuensis,29,82
430,wdn,EU,2,16,Phyllastrephus albigula,17,66
431,wdn,EU,2,16,Phyllastrephus albigula,16,71
432,wdn,EU,2,16,Chamaetylas fuelleborni,52,NA
433,wdn,EU,2,16,Chamaetylas fuelleborni,54,111
434,wdn,EU,2,16,Elminia albonotata,9,64
435,wdn,EU,2,16,Phylloscopus ruficapilla,8,52
436,wdn,EU,2,16,Phylloscopus ruficapilla,7,47
437,wdn,EU,2,16,Phylloscopus ruficapilla,8,50
438,wdn,EU,2,16,Bradypterus lopezi,19,59
439,wdn,EU,2,16,Eurillas virens,20,78
440,wdn,EU,2,16,Eurillas virens,23,84
441,wdn,EU,2,16,Turdus roehli,75,115
442,wdn,EU,2,16,Cyanomitra olivacea,10,NA
443,wdn,EU,2,16,Arizelocichla milanjensis,45,98
444,wdn,EU,2,16,Arizelocichla masukuensis,27,83
445,wdn,EU,2,16,Arizelocichla masukuensis,24,80
446,wdn,EU,2,16,Arizelocichla masukuensis,25,77
447,wdn,EU,2,16,Arizelocichla masukuensis,27,80
448,wdn,EU,2,16,Phyllastrephus albigula,13,65
449,wdn,EU,2,16,Phyllastrephus albigula,14,65
450,wdn,EU,2,16,Phyllastrephus albigula,13,63
451,wdn,EU,2,16,Chamaetylas fuelleborni,57,110
452,wdn,EU,2,16,Phyllastrephus flavostriatus,25,82
453,wdn,EU,2,16,Phyllastrephus flavostriatus,24,85
454,wdn,EU,2,16,Phylloscopus ruficapilla,8,56
455,wdn,EU,2,16,Phylloscopus ruficapilla,7,53
456,wdn,WU,2,22,Cinnyris usambaricus,8,NA
457,wdn,WU,2,22,Bradypterus lopezi,18,NA
458,wdn,WU,2,22,Turdus roehli,56,NA
459,wdn,WU,2,22,Turdus roehli,58,NA
460,wdn,WU,2,22,Turdus roehli,54,NA
461,wdn,WU,2,22,Geokichla gurneyi,63,NA
462,wdn,WU,2,22,Phyllastrephus cabanisi,25,NA
463,wdn,WU,2,22,Phyllastrephus cabanisi,23,NA
464,wdn,WU,2,22,Phyllastrephus cabanisi,24,NA
465,wdn,WU,2,22,Phyllastrephus cabanisi,21,NA
466,wdn,WU,2,22,Phyllastrephus cabanisi,28,NA
467,wdn,WU,2,22,Phyllastrephus cabanisi,24,NA
468,wdn,WU,2,22,Phyllastrephus cabanisi,22,NA
469,wdn,WU,2,22,Cyanomitra olivacea,8,58
470,wdn,WU,2,22,Cyanomitra olivacea,10,65
471,wdn,WU,2,22,Cyanomitra olivacea,10,NA
472,wdn,WU,2,22,Cyanomitra olivacea,10,NA
473,wdn,WU,2,22,Illadopsis rufipennis,24,70
474,wdn,WU,2,22,Illadopsis rufipennis,29,77
475,wdn,WU,2,22,Illadopsis rufipennis,26,73
